600 600
60000 60000 50000000
238 500 0 63
548 85 0 16
89 335 0 58
27 128 0 9
415 419 0 74
471 27 0 20
525 171 0 2
124 347 0 64
377 415 0 92
354 156 0 96
499 399 0 77
27 589 0 93
542 166 0 83
84 209 0 86
272 60 0 67
362 483 0 36
200 173 0 74
48 266 0 91
26 394 0 89
468 310 0 53
270 323 0 21
262 472 0 50
370 63 0 49
404 454 0 7
112 43 0 14
341 84 0 52
110 382 0 69
409 11 0 49
30 357 0 100
333 186 0 85
480 90 0 5
432 386 0 99
541 321 0 22
23 217 0 19
418 138 0 65
122 273 0 22
561 147 0 66
430 81 0 33
176 262 0 15
371 301 0 68
168 558 0 100
224 196 0 50
104 458 0 27
75 499 0 23
355 7 0 33
161 531 0 94
520 60 0 91
520 485 0 24
44 202 0 11
201 151 0 32
71 62 0 28
21 202 0 60
562 478 0 3
377 267 0 82
201 348 0 44
414 195 0 7
595 165 0 45
210 110 0 50
329 68 0 10
60 174 0 36
547 445 0 60
590 46 0 30
2 498 0 27
429 361 0 59
219 88 0 26
4 261 0 97
160 558 0 26
537 192 0 31
262 438 0 56
197 465 0 25
247 466 0 42
363 369 0 34
398 521 0 59
179 233 0 3
578 500 0 27
267 189 0 30
157 386 0 2
273 260 0 79
82 106 0 5
452 380 0 87
107 256 0 0
140 274 0 73
531 37 0 89
316 234 0 94
581 184 0 93
306 369 0 91
90 341 0 99
480 321 0 65
374 486 0 35
559 4 0 20
103 57 0 64
27 286 0 35
245 35 0 67
16 282 0 26
299 273 0 76
11 189 0 79
268 162 0 90
278 179 0 91
391 78 0 95
130 51 0 4
293 112 0 11
295 249 0 38
345 330 0 28
352 145 0 76
192 537 0 16
530 309 0 70
258 424 0 30
473 242 0 38
214 221 0 17
186 242 0 1
5 6 0 9
187 437 0 88
244 122 0 1
124 581 0 9
466 431 0 84
24 409 0 77
17 29 0 26
397 574 0 5
76 534 0 23
428 552 0 49
204 549 0 79
26 517 0 14
155 235 0 10
225 385 0 63
369 239 0 55
200 273 0 65
267 257 0 28
289 498 0 22
112 180 0 62
198 80 0 23
565 310 0 58
544 24 0 33
544 329 0 3
469 217 0 56
180 148 0 40
539 555 0 82
77 343 0 88
344 104 0 68
460 31 0 95
62 543 0 0
489 171 0 19
291 564 0 41
531 594 0 48
185 32 0 53
226 596 0 75
550 311 0 41
336 535 0 73
540 491 0 62
126 234 0 74
426 485 0 55
317 437 0 3
108 220 0 81
503 36 0 94
279 254 0 50
556 593 0 61
434 112 0 77
423 588 0 50
186 525 0 52
376 224 0 29
310 353 0 91
404 446 0 65
129 71 0 79
399 284 0 54
422 196 0 66
482 36 0 74
299 120 0 3
2 403 0 6
586 584 0 62
525 73 0 93
445 531 0 37
588 217 0 37
466 434 0 24
419 392 0 41
468 349 0 68
553 474 0 87
222 316 0 66
122 19 0 79
242 448 0 71
464 416 0 90
253 123 0 6
276 307 0 34
185 590 0 9
269 0 0 16
302 151 0 51
246 330 0 31
53 26 0 74
79 412 0 17
291 158 0 68
295 305 0 6
246 78 0 66
556 455 0 11
351 518 0 40
577 268 0 3
137 416 0 3
210 121 0 0
31 556 0 21
23 321 0 53
99 35 0 94
143 117 0 66
496 320 0 81
164 268 0 23
105 220 0 100
514 3 0 95
559 117 0 85
557 179 0 7
397 542 0 20
196 5 0 21
21 67 0 15
163 415 0 65
563 48 0 24
598 511 0 33
173 496 0 78
378 113 0 12
435 331 0 3
50 86 0 17
133 492 0 38
298 246 0 68
489 400 0 70
216 412 0 81
9 589 0 67
453 49 0 93
545 135 0 46
480 188 0 93
164 277 0 2
215 435 0 95
84 475 0 72
54 106 0 72
590 175 0 58
359 386 0 95
159 523 0 72
313 404 0 77
448 27 0 81
505 253 0 1
75 305 0 11
274 513 0 72
535 464 0 95
492 569 0 29
139 29 0 46
106 195 0 33
581 109 0 35
525 547 0 38
475 1 0 96
502 81 0 20
574 366 0 10
333 528 0 35
255 589 0 54
317 152 0 73
82 527 0 37
338 491 0 13
118 214 0 14
396 514 0 12
186 263 0 5
313 335 0 18
54 320 0 71
208 379 0 97
39 337 0 100
357 497 0 13
515 435 0 18
443 90 0 77
14 361 0 45
474 111 0 47
355 228 0 15
544 98 0 98
369 455 0 89
82 62 0 12
374 341 0 57
389 544 0 52
28 426 0 72
439 319 0 66
86 265 0 40
261 192 0 28
356 34 0 35
86 325 0 18
430 454 0 60
370 216 0 48
355 119 0 35
574 0 0 87
244 235 0 52
410 492 0 58
167 262 0 57
103 308 0 67
104 62 0 75
522 65 0 62
389 77 0 67
203 350 0 18
361 148 0 11
145 305 0 43
256 396 0 26
178 524 0 41
60 173 0 50
332 455 0 51
388 315 0 84
312 292 0 63
118 358 0 44
343 132 0 2
451 347 0 28
438 346 0 2
275 423 0 78
183 517 0 12
517 590 0 69
181 454 0 87
399 291 0 70
276 83 0 3
264 90 0 70
42 44 0 0
161 320 0 24
556 538 0 86
102 213 0 79
505 487 0 4
267 16 0 89
357 84 0 21
412 435 0 4
169 39 0 33
128 481 0 92
595 392 0 12
339 448 0 18
290 426 0 35
369 586 0 69
478 1 0 56
352 538 0 27
214 144 0 40
551 367 0 75
249 217 0 21
120 163 0 8
271 431 0 80
86 79 0 85
237 599 0 73
159 244 0 42
53 170 0 18
235 510 0 28
554 133 0 92
222 395 0 94
532 122 0 17
410 309 0 67
595 377 0 34
446 322 0 27
549 26 0 21
585 357 0 74
350 409 0 96
95 64 0 47
301 509 0 10
383 496 0 67
322 9 0 42
485 182 0 71
389 509 0 50
582 545 0 37
590 127 0 100
213 459 0 73
376 94 0 41
339 175 0 21
88 12 0 8
91 324 0 21
265 151 0 28
1 205 0 36
247 249 0 53
296 92 0 63
417 188 0 85
425 151 0 99
285 430 0 65
293 87 0 86
21 390 0 95
46 339 0 31
50 181 0 20
123 80 0 52
439 454 0 90
523 312 0 88
413 131 0 55
14 67 0 3
6 3 0 49
95 218 0 13
563 128 0 45
50 218 0 86
112 418 0 24
530 224 0 72
344 553 0 66
560 362 0 43
455 306 0 19
450 329 0 40
411 60 0 48
260 238 0 31
74 540 0 47
454 589 0 61
433 301 0 47
322 120 0 44
586 47 0 84
132 235 0 70
118 57 0 48
235 253 0 79
570 150 0 88
484 63 0 80
334 593 0 98
414 251 0 56
587 335 0 55
289 390 0 60
413 495 0 47
561 557 0 37
502 410 0 86
153 471 0 43
3 62 0 87
109 254 0 82
52 116 0 28
317 587 0 79
195 27 0 9
547 403 0 35
275 505 0 52
293 533 0 41
533 284 0 52
380 579 0 10
568 13 0 93
98 541 0 68
178 98 0 84
505 482 0 82
56 89 0 40
366 474 0 32
10 359 0 30
58 402 0 70
329 325 0 43
79 452 0 97
564 518 0 71
325 130 0 46
127 405 0 71
491 436 0 34
362 547 0 69
526 440 0 33
509 246 0 48
271 408 0 4
469 261 0 94
517 419 0 54
541 430 0 64
72 530 0 15
538 2 0 27
536 331 0 29
398 224 0 85
154 483 0 41
198 427 0 25
307 486 0 64
337 571 0 26
471 525 0 72
529 132 0 96
383 296 0 66
304 252 0 57
481 63 0 27
154 167 0 88
105 363 0 31
325 137 0 89
119 56 0 96
19 247 0 81
204 280 0 2
45 589 0 98
170 239 0 18
242 590 0 90
62 229 0 82
84 223 0 89
151 156 0 56
258 269 0 26
419 502 0 23
232 461 0 33
270 478 0 45
91 386 0 58
260 402 0 55
181 35 0 93
120 213 0 59
69 412 0 62
4 171 0 82
154 306 0 53
503 214 0 14
57 45 0 45
372 396 0 36
565 303 0 0
313 110 0 22
38 137 0 70
486 340 0 71
76 507 0 1
395 66 0 56
542 35 0 59
593 112 0 100
27 333 0 30
378 446 0 39
596 447 0 64
213 65 0 5
24 289 0 29
43 435 0 22
46 60 0 28
358 417 0 20
574 454 0 77
360 136 0 59
385 77 0 45
238 10 0 87
2 433 0 74
6 256 0 60
561 177 0 87
369 575 0 4
164 372 0 88
103 235 0 60
328 328 0 62
165 80 0 23
189 409 0 95
218 104 0 94
419 283 0 30
394 83 0 13
573 506 0 80
320 338 0 82
580 65 0 78
498 99 0 45
363 592 0 68
348 235 0 97
403 243 0 58
399 30 0 44
329 112 0 53
286 378 0 81
350 505 0 44
447 77 0 74
249 404 0 98
449 196 0 42
109 226 0 7
46 486 0 64
509 239 0 0
518 496 0 73
19 154 0 53
435 433 0 17
79 251 0 63
487 529 0 46
270 357 0 10
185 392 0 28
199 85 0 92
158 565 0 66
456 179 0 34
583 121 0 45
38 285 0 46
237 376 0 84
15 73 0 83
107 503 0 90
110 220 0 57
232 496 0 44
236 25 0 100
174 579 0 38
568 166 0 55
198 62 0 97
50 417 0 78
291 183 0 63
414 378 0 60
533 222 0 45
134 500 0 18
376 176 0 79
393 528 0 15
491 495 0 37
231 18 0 90
153 560 0 73
245 251 0 18
518 411 0 82
440 70 0 66
239 492 0 76
109 109 0 43
208 346 0 62
292 499 0 87
60 209 0 52
487 271 0 89
413 192 0 33
411 97 0 64
266 333 0 82
546 171 0 61
595 503 0 53
517 319 0 55
284 595 0 73
159 138 0 84
396 335 0 40
387 362 0 35
574 111 0 13
341 335 0 91
409 44 0 92
429 18 0 99
590 458 0 34
215 146 0 52
171 354 0 62
501 8 0 47
541 381 0 33
536 467 0 7
458 149 0 67
264 95 0 42
139 461 0 19
149 522 0 96
284 6 0 9
287 229 0 66
163 388 0 50
313 48 0 98
8 271 0 45
79 300 0 11
33 310 0 37
7 472 0 11
589 256 0 27
242 102 0 75
243 122 0 75
337 42 0 71
322 280 0 79
498 32 0 92
255 142 0 40
100 379 0 79
518 473 0 41
392 170 0 71
291 119 0 20
208 319 0 100
343 310 0 22
487 418 0 23
515 516 0 52
551 18 0 21
214 264 0 37
345 547 0 26
251 483 0 13
192 210 0 48
155 358 0 38
230 354 0 67
496 504 0 8
146 462 0 2
544 499 0 32
501 110 0 18
315 321 0 77
387 45 0 94
246 580 0 4
5 289 0 20
135 190 0 59
230 563 0 24
105 371 0 76
294 24 0 30
494 181 0 85
4 173 0 5
341 396 0 92
401 51 0 24
316 168 0 16
529 38 0 95
428 268 0 57
11 465 0 41
491 303 0 97
180 195 0 76
181 399 0 5
560 560 0 9
200 151 0 49
296 169 0 30
553 62 0 36
479 590 0 28
258 10 0 73
523 280 0 29
473 478 0 57
388 311 0 87
341 535 0 45
254 323 0 52
513 122 0 60
279 572 0 43
40 580 0 6
476 586 0 97
501 343 0 75
199 509 0 78
49 565 0 61
99 149 0 77
530 331 0 6
333 451 0 72
411 101 0 78
14 171 0 17
486 6 0 49
440 156 0 36
96 16 0 21
165 204 0 58
250 196 0 27
324 72 0 88
127 137 0 60
561 572 0 48
53 280 0 36
22 1 0 50
49 407 0 11
580 150 0 11
131 528 0 12
571 110 0 64
391 130 0 78
516 9 0 20
177 143 0 0
592 271 0 68
159 26 0 100
58 253 0 30
484 253 0 47
98 589 0 36
172 117 0 66
245 147 0 32
140 325 0 93
519 132 0 66
452 480 0 10
508 566 0 88
175 338 0 73
429 435 0 51
508 2 0 74
78 41 0 38
201 553 0 33
335 29 0 76
557 441 0 5
484 103 0 61
226 200 0 11
314 546 0 50
471 480 0 23
523 526 0 16
338 517 0 43
349 337 0 50
504 73 0 53
27 237 0 80
316 506 0 71
280 259 0 83
81 129 0 100
20 375 0 20
484 369 0 80
326 121 0 73
393 226 0 63
558 510 0 35
103 325 0 52
424 104 0 42
297 408 0 12
585 311 0 47
448 97 0 67
24 365 0 85
440 418 0 39
427 498 0 72
50 149 0 48
242 90 0 43
350 486 0 78
530 325 0 78
426 487 0 66
25 100 0 33
42 82 0 34
374 184 0 45
180 575 0 24
321 17 0 91
130 79 0 45
105 34 0 69
353 389 0 77
340 419 0 23
302 192 0 53
158 503 0 92
58 467 0 46
487 358 0 83
373 370 0 43
183 343 0 32
597 176 0 44
242 427 0 17
251 124 0 52
26 89 0 11
482 264 0 7
181 512 0 57
239 83 0 23
21 594 0 50
479 59 0 22
151 312 0 77
307 447 0 34
44 298 0 62
289 441 0 64
272 328 0 4
331 515 0 96
311 554 0 53
283 126 0 27
564 267 0 2
320 309 0 23
106 243 0 9
503 468 0 75
521 42 0 71
130 466 0 82
108 29 0 7
414 419 0 80
444 87 0 94
306 289 0 98
20 300 0 40
478 544 0 28
9 452 0 28
460 405 0 23
188 426 0 47
27 203 0 87
393 552 0 84
452 393 0 78
222 109 0 47
375 71 0 70
440 237 0 86
533 462 0 81
434 404 0 80
185 353 0 71
340 197 0 38
153 581 0 95
181 179 0 59
131 471 0 62
165 158 0 74
302 77 0 81
306 392 0 7
529 453 0 71
544 387 0 45
1 432 0 35
526 518 0 8
137 455 0 19
419 273 0 76
96 445 0 8
535 151 0 62
1 526 0 27
363 134 0 40
361 9 0 92
320 409 0 29
220 438 0 79
86 82 0 88
15 51 0 45
137 529 0 27
478 513 0 7
238 234 0 91
127 302 0 47
353 459 0 46
344 577 0 12
387 16 0 99
230 386 0 79
125 561 0 90
142 417 0 72
427 532 0 88
330 100 0 60
158 45 0 3
156 308 0 2
528 592 0 29
346 276 0 59
104 123 0 98
6 370 0 29
51 190 0 88
58 236 0 44
536 171 0 76
392 252 0 27
308 364 0 68
578 338 0 10
369 509 0 26
151 549 0 25
190 91 0 47
276 570 0 86
542 411 0 3
19 436 0 69
380 250 0 83
522 458 0 91
59 20 0 84
118 116 0 3
279 481 0 22
477 210 0 91
262 114 0 2
318 31 0 31
118 302 0 55
36 168 0 97
260 17 0 33
170 423 0 53
259 487 0 19
114 64 0 41
439 547 0 65
428 337 0 10
443 330 0 95
353 111 0 27
235 439 0 22
581 77 0 56
537 188 0 13
254 59 0 64
85 22 0 22
277 523 0 21
269 45 0 27
266 201 0 11
398 291 0 4
303 351 0 98
430 339 0 20
181 351 0 77
373 519 0 72
359 456 0 99
93 196 0 59
190 449 0 19
33 513 0 95
25 584 0 73
244 490 0 94
166 462 0 33
318 361 0 56
218 262 0 68
0 492 0 4
551 458 0 61
48 112 0 15
288 165 0 21
545 188 0 0
97 162 0 71
318 304 0 96
8 233 0 30
599 532 0 24
278 198 0 98
186 430 0 76
5 349 0 1
438 261 0 65
361 144 0 29
365 138 0 65
112 249 0 6
474 148 0 44
25 595 0 19
565 48 0 89
469 256 0 5
111 122 0 39
74 508 0 7
19 572 0 68
298 450 0 49
231 237 0 93
70 288 0 49
520 32 0 23
548 166 0 19
308 48 0 21
564 287 0 99
241 485 0 7
365 454 0 37
505 249 0 53
530 12 0 13
457 442 0 32
163 24 0 72
426 226 0 44
421 537 0 12
327 476 0 72
49 93 0 45
568 495 0 11
48 200 0 5
507 398 0 30
92 96 0 47
52 42 0 44
167 357 0 27
450 238 0 48
484 184 0 85
40 93 0 0
305 275 0 57
176 72 0 41
391 220 0 90
150 229 0 45
116 384 0 44
260 484 0 47
31 591 0 98
516 348 0 36
544 182 0 33
186 490 0 23
502 479 0 65
235 73 0 82
466 332 0 55
382 543 0 23
81 172 0 44
313 24 0 16
206 530 0 43
381 413 0 92
584 500 0 7
70 203 0 15
149 89 0 61
41 45 0 95
547 595 0 4
436 476 0 85
34 297 0 21
252 174 0 48
47 126 0 43
39 438 0 94
227 552 0 1
258 246 0 45
284 158 0 87
51 437 0 98
471 475 0 83
42 304 0 66
208 102 0 15
548 48 0 13
230 590 0 81
233 53 0 47
458 86 0 64
120 411 0 17
190 309 0 22
47 410 0 65
460 271 0 9
114 574 0 53
509 284 0 44
472 435 0 94
221 561 0 99
87 234 0 4
324 220 0 36
511 288 0 21
465 309 0 50
123 527 0 4
65 232 0 84
169 29 0 82
557 219 0 94
364 430 0 30
62 274 0 27
454 400 0 72
233 18 0 52
265 69 0 99
120 174 0 30
7 478 0 50
345 377 0 74
11 115 0 7
80 523 0 51
37 455 0 94
137 102 0 46
153 371 0 85
22 208 0 48
367 70 0 60
442 105 0 78
108 341 0 67
302 292 0 71
78 358 0 47
581 380 0 63
38 360 0 66
497 513 0 74
314 508 0 60
72 25 0 42
558 223 0 49
55 277 0 66
571 385 0 76
277 469 0 45
106 230 0 87
293 467 0 48
113 329 0 67
328 494 0 53
184 422 0 64
245 561 0 56
325 489 0 26
191 441 0 64
588 438 0 74
446 201 0 45
466 62 0 2
525 534 0 18
560 350 0 32
129 200 0 61
353 252 0 9
372 175 0 87
55 207 0 100
313 338 0 94
278 282 0 41
186 358 0 38
193 168 0 25
58 563 0 18
307 196 0 72
225 463 0 17
30 305 0 27
367 227 0 65
502 153 0 43
441 381 0 17
265 66 0 64
312 482 0 77
518 314 0 66
161 476 0 92
259 255 0 100
512 587 0 57
400 173 0 85
124 85 0 68
578 554 0 76
405 511 0 30
560 416 0 12
364 278 0 50
314 79 0 99
199 45 0 37
350 80 0 64
411 69 0 72
282 174 0 85
415 583 0 90
296 259 0 66
549 127 0 21
312 453 0 50
280 385 0 26
300 128 0 9
550 562 0 3
398 290 0 90
59 364 0 5
171 53 0 49
502 364 0 70
91 595 0 36
426 190 0 0
200 36 0 91
570 285 0 11
581 233 0 75
581 463 0 77
458 92 0 71
402 420 0 24
355 286 0 97
71 353 0 69
315 10 0 0
39 430 0 82
573 78 0 37
139 573 0 40
402 84 0 14
410 14 0 75
177 290 0 62
146 572 0 37
96 433 0 53
306 136 0 41
236 527 0 89
207 450 0 34
334 86 0 30
347 358 0 89
529 123 0 67
3 308 0 2
4 304 0 68
343 143 0 7
452 451 0 11
374 281 0 46
129 228 0 31
311 150 0 68
451 87 0 1
2 317 0 1
321 409 0 76
175 84 0 71
543 449 0 59
91 39 0 81
94 484 0 77
412 542 0 13
215 94 0 20
566 36 0 64
231 389 0 53
67 407 0 22
138 399 0 7
398 491 0 12
45 322 0 99
412 282 0 5
17 451 0 93
7 384 0 59
225 414 0 28
496 246 0 52
182 448 0 28
362 555 0 50
377 494 0 92
113 458 0 21
451 204 0 90
2 552 0 26
132 577 0 36
360 489 0 39
417 198 0 39
57 152 0 20
209 235 0 47
350 568 0 36
104 399 0 48
519 378 0 0
508 516 0 98
547 550 0 36
211 369 0 68
498 392 0 78
90 33 0 86
422 87 0 68
324 124 0 23
302 59 0 37
411 252 0 61
440 391 0 68
515 429 0 24
558 360 0 20
591 542 0 15
172 517 0 34
232 588 0 29
542 501 0 41
394 548 0 53
451 367 0 11
513 252 0 27
482 74 0 95
431 515 0 42
4 209 0 77
541 377 0 57
543 52 0 77
551 573 0 12
532 475 0 87
266 66 0 76
217 2 0 36
190 257 0 61
5 282 0 66
477 516 0 45
286 564 0 13
262 119 0 1
85 298 0 96
394 134 0 58
373 290 0 79
449 508 0 83
162 514 0 43
8 218 0 61
524 303 0 94
560 318 0 0
155 464 0 47
233 532 0 22
594 280 0 92
287 561 0 67
138 335 0 40
79 558 0 73
195 351 0 13
298 150 0 21
139 338 0 72
281 91 0 45
336 50 0 53
544 454 0 49
153 322 0 73
478 449 0 3
599 333 0 59
348 377 0 88
557 308 0 43
428 48 0 99
251 269 0 86
87 129 0 12
427 378 0 100
275 153 0 80
405 75 0 30
442 453 0 97
49 166 0 82
555 156 0 25
400 446 0 67
539 387 0 93
183 168 0 56
103 50 0 4
57 593 0 10
271 459 0 93
537 533 0 61
265 1 0 30
228 238 0 97
357 209 0 73
564 198 0 75
35 229 0 60
274 475 0 88
156 484 0 0
318 16 0 38
19 198 0 83
558 586 0 64
278 160 0 40
83 351 0 92
395 283 0 55
133 514 0 16
172 284 0 47
496 135 0 5
424 92 0 38
139 470 0 71
472 157 0 95
57 514 0 70
157 561 0 49
495 399 0 65
78 105 0 88
68 487 0 38
423 465 0 57
262 564 0 59
173 421 0 50
417 15 0 92
24 267 0 46
148 403 0 33
465 107 0 92
599 432 0 74
209 483 0 10
178 195 0 86
390 360 0 72
323 501 0 87
103 318 0 13
433 49 0 7
424 60 0 64
499 56 0 55
458 119 0 84
90 145 0 80
502 118 0 85
344 112 0 44
12 263 0 20
357 22 0 78
77 438 0 15
194 458 0 64
391 99 0 45
53 216 0 55
180 411 0 97
40 184 0 7
341 404 0 31
153 462 0 10
349 122 0 39
15 356 0 38
597 246 0 35
310 388 0 34
505 570 0 71
29 100 0 74
52 170 0 81
338 119 0 42
358 478 0 11
209 305 0 77
206 266 0 88
209 93 0 28
240 301 0 63
8 446 0 14
592 446 0 31
540 524 0 27
242 154 0 31
310 337 0 38
441 336 0 81
449 513 0 18
260 473 0 26
515 67 0 3
268 201 0 1
457 42 0 50
38 449 0 22
213 139 0 49
364 53 0 21
333 209 0 24
513 499 0 79
546 506 0 55
99 258 0 79
553 562 0 70
3 32 0 44
201 577 0 59
138 308 0 56
135 527 0 3
422 442 0 88
47 522 0 37
0 284 0 1
338 13 0 52
98 496 0 99
228 562 0 91
567 28 0 9
491 592 0 40
403 515 0 87
214 314 0 44
343 212 0 33
96 589 0 27
347 170 0 43
13 73 0 93
39 357 0 41
431 244 0 18
39 223 0 36
583 240 0 100
392 525 0 63
533 512 0 83
590 77 0 48
216 355 0 19
331 352 0 63
20 94 0 55
278 483 0 34
126 131 0 100
186 410 0 59
296 145 0 47
227 326 0 81
200 435 0 89
265 167 0 17
147 575 0 19
205 472 0 42
241 91 0 45
66 131 0 28
227 245 0 34
421 416 0 97
60 402 0 0
511 425 0 6
434 329 0 42
226 458 0 55
380 568 0 6
160 220 0 41
229 424 0 67
80 276 0 43
596 399 0 28
149 290 0 58
430 141 0 34
465 420 0 31
234 86 0 7
161 410 0 13
0 82 0 4
226 252 0 47
69 583 0 96
453 76 0 10
293 109 0 62
265 321 0 25
58 109 0 73
555 226 0 12
263 513 0 48
558 154 0 87
142 552 0 97
246 175 0 7
331 414 0 26
480 131 0 61
572 234 0 82
284 267 0 4
10 596 0 27
288 230 0 97
77 225 0 20
273 12 0 74
27 149 0 29
500 545 0 96
480 183 0 17
447 304 0 79
317 338 0 42
557 302 0 79
99 110 0 19
381 423 0 21
57 74 0 0
458 492 0 34
289 157 0 4
452 254 0 91
135 187 0 75
130 74 0 23
138 443 0 83
309 396 0 12
439 166 0 92
73 339 0 55
362 350 0 98
1 580 0 65
176 594 0 59
19 376 0 99
70 511 0 17
143 135 0 71
560 37 0 3
346 8 0 57
302 85 0 96
120 252 0 100
343 83 0 65
166 240 0 75
432 70 0 76
303 594 0 3
225 269 0 44
147 318 0 72
434 486 0 65
443 184 0 86
214 78 0 78
369 349 0 88
454 520 0 55
128 190 0 65
148 7 0 38
304 541 0 75
559 349 0 30
497 125 0 41
408 114 0 73
553 181 0 24
229 125 0 3
544 382 0 95
257 356 0 55
548 147 0 97
593 544 0 82
10 210 0 9
473 143 0 78
508 569 0 18
1 212 0 75
180 185 0 36
199 396 0 58
5 237 0 73
92 537 0 48
250 128 0 66
408 0 0 88
542 52 0 27
233 239 0 18
201 282 0 11
479 176 0 66
471 268 0 29
250 470 0 62
6 580 0 35
473 221 0 77
31 371 0 52
310 89 0 7
244 179 0 86
406 597 0 49
541 344 0 36
96 573 0 45
76 23 0 15
380 464 0 18
503 384 0 10
393 304 0 100
445 588 0 78
351 367 0 49
100 462 0 69
74 554 0 86
434 280 0 100
105 154 0 79
23 246 0 89
304 404 0 64
436 584 0 41
158 578 0 46
264 56 0 24
474 570 0 7
86 44 0 30
125 149 0 100
224 107 0 19
189 28 0 97
430 217 0 6
13 340 0 61
558 43 0 94
11 135 0 88
188 348 0 48
30 164 0 84
140 285 0 94
554 361 0 83
95 92 0 39
449 285 0 17
281 546 0 40
279 178 0 17
399 386 0 98
157 143 0 19
65 433 0 37
287 289 0 73
376 420 0 32
299 86 0 95
494 453 0 9
242 185 0 31
371 545 0 59
356 168 0 50
218 19 0 10
149 129 0 30
558 336 0 61
251 477 0 33
428 503 0 70
537 313 0 57
393 335 0 70
296 460 0 61
194 297 0 45
265 312 0 77
411 346 0 79
167 563 0 34
46 449 0 14
94 117 0 84
453 371 0 22
462 8 0 65
270 469 0 11
265 261 0 48
259 419 0 6
389 382 0 21
244 366 0 65
129 137 0 63
134 180 0 53
85 68 0 65
528 56 0 20
455 66 0 64
545 45 0 35
475 556 0 97
384 87 0 44
497 131 0 5
517 105 0 49
548 344 0 80
548 121 0 12
597 396 0 0
249 145 0 70
402 70 0 82
208 421 0 42
126 555 0 3
364 355 0 6
135 552 0 36
501 501 0 84
286 168 0 25
329 109 0 67
350 74 0 89
592 413 0 3
594 224 0 12
100 452 0 14
505 49 0 67
183 208 0 69
148 449 0 81
149 145 0 11
421 144 0 65
371 211 0 89
352 282 0 51
301 206 0 59
210 390 0 47
438 509 0 53
548 490 0 86
143 3 0 62
244 162 0 41
116 312 0 41
430 401 0 75
415 315 0 66
133 206 0 62
353 13 0 28
38 474 0 44
101 31 0 16
144 478 0 9
159 310 0 21
245 40 0 73
16 314 0 47
105 359 0 98
450 199 0 93
72 97 0 35
221 503 0 46
504 456 0 25
500 275 0 62
511 62 0 65
55 324 0 40
192 535 0 13
418 437 0 92
4 266 0 62
429 301 0 88
438 226 0 49
47 176 0 81
307 373 0 41
281 452 0 20
193 444 0 35
510 502 0 27
118 223 0 43
12 431 0 8
68 278 0 44
84 336 0 15
386 515 0 12
556 358 0 31
113 106 0 72
574 63 0 17
345 41 0 10
381 398 0 76
392 409 0 26
397 386 0 2
411 298 0 21
441 236 0 88
333 260 0 14
566 171 0 59
117 41 0 49
227 227 0 96
68 168 0 69
335 540 0 54
134 309 0 75
425 546 0 0
416 97 0 69
493 276 0 34
478 451 0 19
294 22 0 76
205 119 0 62
